2025-12-12T04:55:11.912Z INFO  config: Created default global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T04:55:11.912Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T04:57:57.824Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T04:57:57.824Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T05:02:19.730Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T05:02:19.730Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T05:02:38.588Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T05:02:38.588Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T05:03:32.267Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T05:03:32.267Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T05:06:12.928Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T05:06:12.928Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T05:06:56.699Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T05:06:56.699Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T18:51:30.168Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T18:51:30.169Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/wpromote/oh-my-opencode
2025-12-12T19:39:58.414Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T19:39:58.414Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/unfrgivn/dotfiles/config/opencode
2025-12-12T19:46:37.543Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
2025-12-12T19:46:37.543Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/wpromote/kraken
2025-12-12T20:01:48.249Z DEBUG config: No project config found | searchedFrom=/Users/bash/Sites/wpromote/kraken3
2025-12-12T20:01:48.249Z INFO  config: Loaded global config | path=/Users/bash/.config/opencode/dcp.jsonc
